"AllDetails","Unit","Name","Input_output_parameter","Fast-90%-12hourswitch","Fast-90%-6hourswitch","Fast-90%-0hourswitch","Fast-75%-12hourswitch","Fast-75%-6hourswitch","Fast-75%-0hourswitch","Fast-50%-12hourswitch","Fast-50%-6hourswitch","Fast-50%-0hourswitch","Medium-90%-12hourswitch","Medium-90%-6hourswitch","Medium-90%-0hourswitch","Medium-75%-12hourswitch","Medium-75%-6hourswitch","Medium-75%-0hourswitch","Medium-50%-12hourswitch","Medium-50%-6hourswitch","Medium-50%-0hourswitch"
"GeneralFermentation_Run_TimeParameter","General","Fermentation Run Time","Parameter",66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8
"GeneralNumber_of_fermentersParameter","General","Number of fermenters","Parameter",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"BioreactorFeedstockInput","Bioreactor","Feedstock","Input",3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08,3.41e+08
"BioreactorNitrogenInput","Bioreactor","Nitrogen","Input",56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000,56300000
"BioreactorSaltsInput","Bioreactor","Salts","Input",1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000,1680000
"BioreactorWaterInput","Bioreactor","Water","Input",5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08,5.63e+08
"BioreactorAir_(N2/O2)Input","Bioreactor","Air (N2/O2)","Input",1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09,1.46e+09
"CentrifugeWaterInput","Centrifuge","Water","Input",53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000
"pH_adjustmentNaOHInput","pH adjustment","NaOH","Input",93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000,93600000
"ExtracterSolventInput","Extracter","Solvent","Input",697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000
"BioreactorCO2Output","Bioreactor","CO2","Output",1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08
"BioreactorAirOutput","Bioreactor","Air","Output",1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09,1.38e+09
"DryingWater_vaporOutput","Drying","Water vapor","Output",37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000,37600000
"DryingBiomass_Output","Drying","Biomass ","Output",15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000,15500000
"Distillation_step_2ProductOutput","Distillation step 2","Product","Output",1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08
"EvaporatorCakeOutput","Evaporator","Cake","Output",1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08,1.47e+08
"EvaporatorWater_vaporOutput","Evaporator","Water vapor","Output",3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08,3.29e+08
"EvaporatorWaterOutput","Evaporator","Water","Output",3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08
"Distillation_step_2Heavy_OrganicsOutput","Distillation step 2","Heavy Organics","Output",1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07
