"AllDetails","Unit","Name","Input_output_parameter","Fast-90%-12hourswitch","Fast-90%-6hourswitch","Fast-90%-0hourswitch","Fast-75%-12hourswitch","Fast-75%-6hourswitch","Fast-75%-0hourswitch","Fast-50%-12hourswitch","Fast-50%-6hourswitch","Fast-50%-0hourswitch","Medium-90%-12hourswitch","Medium-90%-6hourswitch","Medium-90%-0hourswitch","Medium-75%-12hourswitch","Medium-75%-6hourswitch","Medium-75%-0hourswitch","Medium-50%-12hourswitch","Medium-50%-6hourswitch","Medium-50%-0hourswitch"
"GeneralFermentation_Run_TimeParameter","General","Fermentation Run Time","Parameter",56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3
"GeneralNumber_of_fermentersParameter","General","Number of fermenters","Parameter",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"BioreactorFeedstockInput","Bioreactor","Feedstock","Input",4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.41e+08
"BioreactorNitrogenInput","Bioreactor","Nitrogen","Input",68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000,68400000
"BioreactorSaltsInput","Bioreactor","Salts","Input",2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000
"BioreactorWaterInput","Bioreactor","Water","Input",7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08
"BioreactorAir_(N2/O2)Input","Bioreactor","Air (N2/O2)","Input",1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09,1.89e+09
"CentrifugeWaterInput","Centrifuge","Water","Input",85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000,85500000
"pH_adjustmentNaOHInput","pH adjustment","NaOH","Input",1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08
"ExtracterSolventInput","Extracter","Solvent","Input",697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000
"BioreactorCO2Output","Bioreactor","CO2","Output",2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08
"BioreactorAirOutput","Bioreactor","Air","Output",1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09,1.79e+09
"DryingWater_vaporOutput","Drying","Water vapor","Output",58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000,58700000
"DryingBiomass_Output","Drying","Biomass ","Output",22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000
"Distillation_step_2ProductOutput","Distillation step 2","Product","Output",1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08
"EvaporatorCakeOutput","Evaporator","Cake","Output",1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08
"EvaporatorWater_vaporOutput","Evaporator","Water vapor","Output",4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08
"EvaporatorWaterOutput","Evaporator","Water","Output",4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08,4.63e+08
"Distillation_step_2Heavy_OrganicsOutput","Distillation step 2","Heavy Organics","Output",18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000
