"AllDetails","Unit","Name","Input_output_parameter","Fast-90%-12hourswitch","Fast-90%-6hourswitch","Fast-90%-0hourswitch","Fast-75%-12hourswitch","Fast-75%-6hourswitch","Fast-75%-0hourswitch","Fast-50%-12hourswitch","Fast-50%-6hourswitch","Fast-50%-0hourswitch","Medium-90%-12hourswitch","Medium-90%-6hourswitch","Medium-90%-0hourswitch","Medium-75%-12hourswitch","Medium-75%-6hourswitch","Medium-75%-0hourswitch","Medium-50%-12hourswitch","Medium-50%-6hourswitch","Medium-50%-0hourswitch"
"GeneralFermentation_Run_TimeParameter","General","Fermentation Run Time","Parameter",55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6
"GeneralNumber_of_fermentersParameter","General","Number of fermenters","Parameter",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"BioreactorFeedstockInput","Bioreactor","Feedstock","Input",4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08,4.56e+08
"BioreactorNitrogenInput","Bioreactor","Nitrogen","Input",59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000,59800000
"BioreactorSaltsInput","Bioreactor","Salts","Input",2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000,2690000
"BioreactorWaterInput","Bioreactor","Water","Input",7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08,7.76e+08
"BioreactorAir_(N2/O2)Input","Bioreactor","Air (N2/O2)","Input",1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09,1.88e+09
"CentrifugeWaterInput","Centrifuge","Water","Input",91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000,91500000
"pH_adjustmentNaOHInput","pH adjustment","NaOH","Input",95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000,95100000
"ExtracterSolventInput","Extracter","Solvent","Input",697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000
"BioreactorCO2Output","Bioreactor","CO2","Output",2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08,2.58e+08
"BioreactorAirOutput","Bioreactor","Air","Output",1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09,1.78e+09
"DryingWater_vaporOutput","Drying","Water vapor","Output",62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000,62100000
"DryingBiomass_Output","Drying","Biomass ","Output",2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07
"Distillation_step_2ProductOutput","Distillation step 2","Product","Output",1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08
"EvaporatorCakeOutput","Evaporator","Cake","Output",1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08,1.67e+08
"EvaporatorWater_vaporOutput","Evaporator","Water vapor","Output",3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08,3.73e+08
"EvaporatorWaterOutput","Evaporator","Water","Output",5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08,5.82e+08
"Distillation_step_2Heavy_OrganicsOutput","Distillation step 2","Heavy Organics","Output",14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000,14600000
